term,kana,meaning
発射,はっしゃ,发射
発射～,はっしゃする,动3 发射
発展,はってん,发展
発展する,はってんする,动3 发展；扩展
発想,はっそう,主意，想法，构思；表现
発掘,はっくつ,发掘，挖掘
発揮,はっき,发挥，施展
発散,はっさん,散发；发散，消散
発明,はつめい,发明
発明します,はつめいします,动3 发明
発泡する,はっぽうスチロール,名词 泡沫苯乙烯
発注,はっちゅう,订货，订购
発生,はっせい,发生，出现
発生する,はっせいする,动3 发生
発病,はつびょう,发病，得病
発育,はついく,发育，成长
発行,はっこう,发行（出版物、纸币）
発表,はっぴょう,名词 发表，发布，宣布，揭晓
発表会,はっぴょうかい,名 发布会
発見,はっけん,发现
発見します,はっけんします,动3 发现
発覚,はっかく,暴露，被发现
発言,はつげん,发言
発言します,はつげんします,动3 发言
発足,ほっそく/はっそく,出发，动身；（组织等）开始活动
発車,はっしゃする,动3 发车，开车
発送,はっそう,发送，寄出，发出
発送します,はっそうします,动3 发送，寄送
発達,はったつする,动3 发达
発酵,はっこう,发酵
発酵～,はっこうする,动3 发酵
発電,はつでん,名词 发电
発音,はつおん,发音
登ります,のぼります,登，爬〔山〕［やまに～］［山に～］
登る/上る,のぼる,攀登；上升
登下校,とうげこう,上下学
登場,とうじょうする,动3 登场，出场
登山,とざん,名词 登山，爬山
登校,とうこう,上学
登竜門,とうりゅうもん,飞黄腾达的门路
登録,とうろくする,动3 登记，注册
白々しい,しらじらしい,显而易见的，瞒不了人的；假装不解的
白い,しろい,白色的
白熱,はくねつ,白炽；白热化，最热烈
白状,はくじょう,坦白，招供
白紙,はくし,名词 白纸；空白纸；原始状态
白菜,はくさい,白菜
白酒,はくしゅ,名词 白酒
白髪,しらが,名词 白发
白鳥,はくちょう,名 天鹅
白黒,しろくろ,白与黑；是非曲直；黑白（电视等）
百,ひゃく,百
百薬の長,ひゃくやくのちょう,名词 百药之王
百貨店,ひゃっかてん,百货商店
的,まと,靶子；目标，目的；要点
的確,てきかく,正确的，准确的
皆,みんな,大家，全体
皆さん,みなさん,大家
皆様,みなさま,名词 诸位，各位，大家
皆無,かいむ,名词 全无，毫无，完全没有
皮,かわ,名 皮
皮肉,ひにく,讽刺，挖苦
皮膚,ひふ,皮肤
皮膚病,ひふびょう,名词 皮肤病
皹,ひび,皲裂；裂痕；不和
皺,しわ,皱纹；褶皱，褶子
皿,さら,盘子，碟子
皿洗い,さらあらい,名词 洗盘子，洗碟子
盆地,ぼんち,盆地
盗み,ぬすみ,名词 偷窃
盗みます,ぬすみます,动1 【他】盗取，偷盗
盗み撮り,ぬすみどり,偷拍
盗む,ぬすむ,偷，偷盗
盗作,とうさく,剽窃，抄袭
盗聴,とうちょう,偷听，窃听
盗難,とうなん,失窃，被盗
盛り,さかり,鼎盛时期，最佳状态；壮年，精力充沛
盛り上がる,もりあがる,凸起；涌起；（气氛）热烈，高涨
盛り付け,もりつけ,把食物放入盘中，装盘摆设
盛り合わせ,もりあわせ,名词 拼盘（菜）
盛る,もる,盛，装满；堆高，堆起来
盛ん,さかん,形容动词 兴盛，旺盛，热烈
盛大,せいだい,盛大的，隆重的，宏大的
盛況,せいきょう,名词 盛况
監督,かんとく,管理人，导演；监督
監視,かんし,名词 观察，监视
目,め,眼睛；眼神
目つき,めつき,眼神，目光
目にする,めにする,名词 看到，看见
目の前,めのまえ,名词 眼前，面前
目まぐるしい,めまぐるしい,眼花缭乱的，瞬息万变的
目を見張る,めをみはる,惯用语 瞠目不已，瞪大眼睛
目上,めうえ,名词 尊长，上司，长
目下,めした,晚辈；下属
目先,めさき,眼前；当前；不远的将来
目前,もくぜん,眼前，面前
目印,めじるし,标记，记号
目安,めやす,目标，基准；大体的推测
目当て,めあて,目标；目的
目指す,めざす,动1 向着，朝着
目撃,もくげき,目击，亲眼看到
目撃者,もくげきしゃ,名词 目击者
目方,めかた,分量，重量
目標,もくひょう,名词 目标
目次,もくじ,目录
目的,もくてき,名词 目的
目的地,もくてきち,名词 目的地
目盛り,めもり,刻度，度数
目立つ,めだつ,动1 显眼，显著，引人注目
目薬,めぐすり,眼药水
目覚まし,めざまし,叫醒；闹钟
目覚ましい,めざましい,惊人的，异常显著的
目覚まし時計,めざましどけい,名词 闹钟
目覚める,めざめる,睡醒，醒来；醒悟
目論見,もくろみ,计划，策划
目録,もくろく,目录；清单
盲点,もうてん,盲点；漏洞
盲目的,もうもくてき,盲目的
直,じき,直接；（距离）很近；立刻，马上
直します,なおします,修理，改正
直す,なおす,改正；修改；修理
直ちに,ただちに,立刻，马上；直接
直に,じかに,直接，亲自；贴身
直る,なおる,修好；复原；改正过来
直前,ちょくぜん,名词 即将……之前；正前面
直径,ちょっけい,名词 直径
直後,ちょくご,刚……之后；正后面
直感,ちょっかん,直觉，直接的感觉
直接,ちょくせつ,直接
直線,ちょくせん,直线
直行します,ちょっこうします,动3 直接去，直达
直角,ちょっかく,直角
直訴,じきそ,直接上诉
直通列車,ちょくつうれっしゃ,名 直达列车
直面,ちょくめん,直面，面对
直面～,ちょくめんする,动3 直面，面临，面对
相づち,あいづち,名词 随声应答
相互,そうご,名词 相互
相場,そうば,行情，行市
相変わらず,あいかわらず,照旧，仍旧
相容れない,あいいれない,互相矛盾，不相容
相対,そうたい,相对
相席,あいせき,（在餐厅）拼桌
相当,そうとう,副词 相当，很，颇
相応,そうおう,相称，适宜，适合
相性,あいしょう,缘分；性格相合
相手,あいて,对象；对手，竞争者
相手取る,あいてどる,以⋯⋯为对手
相撲,すもう,名词 相扑，日式摔跤
相方,あいかた,伙伴；对方
相槌,あいづち,随声附和，帮腔
相次ぐ,あいつぐ,动1 接连不断，相继，陆续
相殺,そうさい,（债权和债务）相抵；（功和过）相抵，抵销
相続,そうぞく,继承，继任
相談,そうだん,商量，商议
相談します,そうだんします,动3 商谈
相談に乗る,そうだんにのる,惯用语 商量，征求意见
相通,あいつうずる,动3 相通
相通じる,あいつうじる,动2 相通
相違,そうい,名词 不同，相异
相違ない,そういない,惯用语 没有区别
盾,たて,盾牌
省く,はぶく,省，节省；省略
省みる,かえりみる,反省，反躬自问
省エネ,しょうエネ,节省能源
省略,しょうりゃく,省略
省～,しょうエネルギー,名词 节省能源
眉,まゆ,眉毛
眉毛,まゆげ,眉毛
看板,かんばん,招牌；牌子
看病,かんびょう,护理，看护
看病します,かんびょうします,动3 护理病人，看护病人
看護,かんご,护理，看护
看護婦,かんごふ,护士
看護師,かんごし,名词 护士
県,けん,（日本行政区划）县
県庁,けんちょう,县政府
真っ二つ,まっぷたつ,刚好两半儿；两派
真っ先,まっさき,最先，首先
真っ暗,まっくら,形容动词 漆黑，黑暗；暗淡
真っ白,まっしろ,雪白，纯白
真っ白い,まっしろい,雪白的，洁白的
真っ赤,まっか,通红，鲜红；纯粹，完全
真っ青,まっさお,蔚蓝，深蓝；（脸色）苍白
真っ黒,まっくろ,乌黑，漆黑
真ん中,まんなか,正中间，正中央
真ん丸い,まんまるい,圆溜溜的，圆滚滚的
真上,まうえ,正上方，头顶上
真似,まね,举止，动作；模仿，效仿
真似る,まねる,模仿，效仿
真冬,まふゆ,名词 隆冬，深冬
真剣,しんけん,形容动词 认真，正经，严肃
真実,しんじつ,名词 真的，真话；真实，事实
真心,まごころ,名词 诚心，真心，诚意
真理,しんり,真理
真相,しんそう,名词 真相，实情
真空,しんくう,真空；空白（点）
真面目,まじめ,认真，严肃；诚实
眠い,ねむい,困的，发困的
眠たい,ねむたい,困倦的，昏昏欲睡的
眠ります,ねむります,动1 【自】睡觉
眠る,ねむる,睡觉
眠れる,ねむれる,睡得着
眠気,ねむけ,睡意，困倦
眩しい,まぶしい,晃眼的，耀眼的；光彩夺目的
眩暈,めまい,头晕，目眩
眺め,ながめ,名 景色，风景
眺める,ながめる,动2 看，眺望，观看
眼差し,まなざし,目光，眼神
眼鏡,めがね,眼镜
着々,ちゃくちゃく,进展顺利；稳扎稳打
着きます,つきます,到达，抵达（车站）［えきに～］［駅に～］
着く,つく,到达，抵达
着ける,つける,穿，戴；（船）靠拢；入席
着せる,きせる,给……穿上，给……蒙上
着ます,きます,穿（衬衫等）［シャツを～］
着る,きる,穿（衣服等）
着実,ちゃくじつ,踏实，牢靠
着工,ちゃっこう,动工，开工
着席,ちゃくせきする,动3 就座，入座，就席
着手,ちゃくしゅ,着手，开始
着替え,きがえ,名词 更衣，更换的衣服
着替える,きがえる,动2 换衣服，更衣
着物,きもの,和服
着目,ちゃくもく,着眼，注目
着色,ちゃくしょく,着色，上颜色
着色料,ちゃくしょくりょう,名词 着色剂，染色剂
着陸,ちゃくりく,着陆
着飾る,きかざる,盛装；打扮
睡眠,すいみん,睡眠，睡觉；休眠
睡眠をとります,すいみんをとります,熟语 睡觉
睨む,にらむ,瞪眼；关注（局势）
瞑る,つぶる,闭上眼睛；假装没看见
瞬き,まばたき,眨眼
瞬く,またたく,闪烁；眨眼
瞬間,しゅんかん,瞬间，刹那，转眼
瞳,ひとみ,瞳孔；眼睛
瞼,まぶた,眼睑，眼皮
矛盾,むじゅん,矛盾
矢,や,箭
矢印,やじるし,箭头，箭形符号
知っています,しっています,知道
知らず知らず,しらずしらず,不知不觉中，不由得，无形中
知らず知らずのうちに,しらずしらずのうちに,不知不觉地，没意识到
知らせ,しらせ,名词 消息，通知
知らせます,しらせます,动2 【他】告诉
知らせる,しらせる,通知，告知
知ります,しります,得知
知り合い,しりあい,名词 认识的人，朋友；结识
知り合う,しりあう,动1 相识，结识
知る,しる,知道，懂得；认识
知事,ちじ,知事（日本都、道、府、县的长官）
知人,ちじん,相识，熟人
知性,ちせい,才智，智力；理智
知恵,ちえ,智慧；主意，办法
知的,ちてき,智慧的，智力的；理性的，理智的
知育,ちいく,智育，提升智力的教育
知能,ちのう,智力，智慧
知識,ちしき,名词 知识
短い,みじかい,短的；短暂的
短所,たんしょ,名词 短处，弱点
短期,たんき,短期
短気,たんき,性子急，没有耐性
短縮,たんしゅくする,动3 缩短
矯正,きょうせい,矫正，纠正
石,いし,名词 石头，石块
石けん,せっけん,肥皂
石垣,いしがき,名词 石墙，石围墙，石垣
石橋,いしばし,石桥
石油,せきゆ,名词 石油
石炭,せきたん,名词 煤，煤炭
石畳,いしだたみ,名词 石板路，铺石的地
石頭,いしあたま,死脑筋
砂,すな,名词 沙，沙子
砂利,じゃり,小石头，砂砾；小孩子
砂漠,さばく,名词 沙漠
砂糖,さとう,糖，砂糖
研ぐ,とぐ,动1 磨快；磨光亮；淘
研修,けんしゅう,研究；进修
研修生,けんしゅうせい,名 进修生
研修～,けんしゅうセンター,名词 研修中心
研究,けんきゅう,研究
研究します,けんきゅうします,研究
研究会,けんきゅうかい,名词 研讨会，研究会
研究員,けんきゅういん,研究员
研究室,けんきゅうしつ,名词 研究室
研究所,けんきゅうじょ,名词 研究所
研究者,けんきゅうしゃ,研究人员
研究開発,けんきゅうかいはつ,名词 研究开发
研究～,けんきゅうします,动3 研究
砕く,くだく,动1 掰碎，弄碎，打碎
砕ける,くだける,破碎；（气势等）受挫
破く,やぶく,动1 弄破
破ります,やぶります,动1 【他】爽约，打破
破る,やぶる,破坏，弄破；打破
破れる,やぶれる,动2 破，撕破
破壊,はかい,破坏
破局,はきょく,不可收拾的局面；悲惨的结局
破損,はそん,破损，损坏
破格,はかく,破格，破例；打破常规
破棄,はき,废弃，撕毁（条约）；取消，撤销（判决）
破片,はへん,碎片
破産,はさん,破产
破綻,はたん,（谈判）破裂；失败；破产
破裂,はれつ,破裂；（谈判）破裂
硫黄,いおう,（化学用语）硫黄
硬い,かたい,坚硬的；死板的
硬化,こうか,（物质）硬化；（态度）强硬；（股市）坚挺
硬貨,こうか,硬币
碁,ご,名词 围棋
碁盤,ごばん,围棋盘
碗,わん,碗
確か,たしか,确实，确切；大概，好像
確かに~でも~,,确实……不过……
確かめます,たしかめます,动2 【他】查（看），弄清
確かめる,たしかめる,弄清，查明
確たる,かくたる,确切的，确凿的
確保,かくほ,确保
確保～,かくほする,动3 确保
確信,かくしんする,动3 坚信，确信
確定,かくてい,确定，决定
確実,かくじつ,形容动词 确实；准确
確率,かくりつ,概率；可能性
確立,かくりつ,确立，确定
確認,かくにん,确认
確認する,かくにんする,动3 确认，核实
磁器,じき,瓷器
磨きます,みがきます,动1 【他】刷，擦
磨く,みがく,磨；刷
磨刀胡同,モータオフートン,专有词 磨刀胡同
示す,しめす,动1 表现出，表示；出示
示唆,しさ,暗示，启发
礼,れい,名词 谢意，礼仪，礼貌，礼节
礼儀,れいぎ,名词 礼仪，礼节，礼貌
礼金,れいきん,（租房等的）酬谢金
社,しゃ,名 公司
社交,しゃこう,社交，交际
社交ダンス,しゃこうダンス,名 交际舞
社会,しゃかい,名词 社会
社会人,しゃかいじん,名 社会的一员，成人
社内,しゃない,名词 公司内
社員,しゃいん,公司职员
社員割引制度,しゃいんわりびきせいど,名词 内部员工折扣制度
社員旅行,しゃいんりょこう,名 全社旅行
社員食堂,しゃいんしょくどう,名词 职工食堂
社宅,しゃたく,名词 员工住宅
社説,しゃせつ,名词 社论
社長,しゃちょう,社长，总经理
祈り,いのり,祈祷，祷告
祈る,いのる,动1 祝愿，祈求
祈願,きがん,祈祷
祖先,そせん,祖先
祖母,そぼ,祖母；外祖母
祖父,そふ,名词 祖父，外祖父
祝います,いわいます,动1 【他】祝贺
祝う,いわう,庆祝
祝日,しゅくじつ,名词 节日，假日
祝賀,しゅくが,祝贺，庆贺
神,かみ,名词 神仙，上帝
神前結婚式,しんぜんけっこんしき,名词 神前式婚礼
神戸,こうべ,专 神户
神社,じんじゃ,名词 神社
神秘,しんぴ,神秘
神経,しんけい,神经；感觉，感受
神経痛,しんけいつう,名词 神经痛
神経質,しんけいしつ,神经质，敏感
神聖,しんせい,神圣
神舟５号,しんしゅうごごう,专有词 神舟五号
神話,しんわ,神话
祭り,まつり,名词 文化节，节日庆祝集会；庙会；节日
祭る,まつる,祭奠，供奉
禁じる,きんじる,禁止，不允许
禁止,きんし,禁止
禁煙,きんえん,禁烟
禁煙席,きんえんせき,名词 无烟席，禁烟席，禁烟区
禁物,きんもつ,严禁的事物；切忌的事物
福建省,ふっけんしょう,专有词 福建省
福祉,ふくし,福祉，福利
禿げる,はげる,脱发；（山）变秃
秀でる,ひいでる,优秀，卓越；擅长，突出
私,わたし,我
私ども,わたくしども,代 我们
私事,わたくしごと,私事
私情,しじょう,个人感情；私心
私物,しぶつ,私人物品
私立,しりつ,私立
私鉄,してつ,名词 私营铁路
秋,あき,秋季
秋晴れ,あきばれ,秋天的晴天
秋月,しゅうげつ,秋月
秋葉原,あきはばら,专有词 秋叶原
科学,かがく,科学
科学技術,かがくぎじゅつ,名词 科学技术，科技
科学者,かがくしゃ,名词 科学家
科目,かもく,名词 科目
秘める,ひめる,隐藏，隐瞒
秘密,ひみつ,名词 秘密
秘書,ひしょ,名词 秘书
秘訣,ひけつ,名词 秘诀
秤,はかり,秤，天平
秦,しん,专有词 秦代
秩序,ちつじょ,秩序；条理
称する,しょうする,名字叫……；假称，冒充；称赞
移す,うつす,移动；转移
移り変わる,うつりかわる,变迁，变化
移る,うつる,转移，移动
移住,いじゅう,移居（国外）
移住～,いじゅうする,动3 移居
移動,いどうする,动3 移动
移植,いしょく,移植，移种
移民,いみん,移民
移籍,いせき,转移户籍；（运动员）转队
移転,いてん,迁移，搬家；转移
稀,まれ,稀罕的，稀奇的，稀少的
程度,ていど,程度，水平
税率,ぜいりつ,税率
税込み,ぜいこみ,名词 含税（的价格）
税金,ぜいきん,名词 税金
税関,ぜいかん,海关
種,たね,名词 种子
種々,しゅじゅ,种种，各种
種類,しゅるい,种类
稲,いね,稻子
稲作,いなさく,种稻；稻子的收成
稲光,いなびかり,闪电
稲妻,いなずま,闪电；飞快，如闪电一般
稼ぎます,かせぎます,动1 【自他】挣钱，赚钱
稼ぐ,かせぐ,赚钱，挣钱
稼働/稼動,かどう,劳动，工作；机器运转
稽古,けいこ,练习；排演，排练
穀物,こくもつ,谷物，粮食
積み上げる,つみあげる,堆积起来；积累起来；装完
積み重ねる,つみかさねる,堆起来，垒起来；积累，继续
積む,つむ,动1 装载
積もります,つもります,动1 【自他】堆积；积攒
積もる,つもる,堆积；积累
積極的,せっきょくてき,形容动词 积极．正面
穏やか,おだやか,形容动词 温和；平稳，平静
穏和,おんわ,（气候）温和；（性格）稳重，平和
穴,あな,名词 空，眼；洞穴；漏洞，缺点
穴埋め,あなうめ,填坑；填补（空白），弥补
究める/窮める,きわめる,钻研，探求
究明,きゅうめい,查明，研究明白
究極,きゅうきょく,最终，终极
空,そら,天空；天气
空かす,すかす,空着（肚子）
空き,あき,空；空闲；空缺
空きます,あきます,动1 【自】空，有空
空き巣,あきす,空房
空き缶,あきかん,名词 あきかん（空き缶）[名]空罐
空く,すく,有空隙，空旷
空ける,あける,空开；空出；抽空
空しい,むなしい,空虚的，空洞的；枉然的，徒然的
空っぽ,からっぽ,空着；空虚
空席,くうせき,空座位
空想,くうそう,空想，幻想
空手,からて,空手道；空手，赤手空拳
空模様,そらもよう,天气；形势
空気,くうき,空气；气氛
空港,くうこう,机场
空爆,くうばく,空袭
空白,くうはく,空白；空虚
空腹,くうふく,饿肚子；空腹
突きつける,つきつける,摆在面前；（以强硬的态度）提出
突き上げる,つきあげる,从下往上顶；（下级对上级）施加压力
突き出す,つきだす,推出去；伸出，探出；扭送
突き合わせる,つきあわせる,把两个东西对上；对照，核对
突き当たり,つきあたり,撞上，碰上；（道路）尽头
突き当たる,つきあたる,撞上，碰上；走到尽头；遇到（问题）
突き放す,つきはなす,推开；甩开，抛弃
突き詰める,つきつめる,追究到底；反复思考
突き飛ばす,つきとばす,撞出很远，撞到一旁，用力猛撞
突く,つく,扎，刺；撞击；扶着
突っかかる,つっかかる,顶撞，抬杠；猛扑；撞上，绊倒
突っ張る,つっぱる,抽筋；支撑；坚持己见
突っ込む,つっこむ,闯入；追究；投身于
突入,とつにゅう,突然闯进；进入（重大事态、局面）
突如,とつじょ,突然，突如其来
突拍子もない,とっぴょうしもない,越出常轨，出奇，异常
突然,とつぜん,突然
突破,とっぱ,突破，冲破；超过
突破～,とっぱする,名词 突破，冲破
突飛,とっぴ,离奇的，古怪的
窃盗,せっとう,盗窃，偷盗
窒息,ちっそく,窒息
窓,まど,窗户，窗子
窓口,まどぐち,名词 窗口
窓辺,まどべ,名词 窗边，窗户附近
窓際,まどぎわ,窗边，靠窗
窮乏,きゅうぼう,贫穷，贫困
窮地,きゅうち,困境，窘境
窮屈,きゅうくつ,狭窄；受束缚，不自由；死板
立ちすくむ,たちすくむ,（因吃惊、害怕等）呆立不动
立ちます,たちます,站，立
立ち上がる,たちあがる,动1 站起来
立ち会う,たちあう,遇见；在场，到场
立ち寄る,たちよる,动1 顺路到，顺便到；走近
立ち往生,たちおうじょう,进退维谷；动弹不得
立ち止まる,たちどまる,站住，停下，止步
立ち直る,たちなおる,恢复，复原；（经济形势）好转，回升
立ち退き,たちのき,名词 搬迁，搬走；离开，撤退
立ち退く,たちのく,走开，离开；搬走
立つ,たつ,站立；出发，离开
立てる,たてる,动2 弄响，扬起；立，竖；制定
立て替える,たてかえる,垫付，代付
立て直す,たてなおす,动1 重整，重建
立体,りったい,立体
立候補～,りっこうほする,动3 参加竞选，作候选人
立入禁止,たちいりきんし,名 禁止进入
立場,たちば,名词 立场
立法,りっぽう,立法
立派,りっぱ,漂亮的；壮丽的；出色的
竜巻,たつまき,龙卷风
竜虎酒造,りゅうこしゅぞう,专有词 龙虎酒业公司
童話,どうわ,童话
童謡,どうよう,童谣，儿歌
端,はし,端，头儿，边缘；开端
端的,たんてき,直率的，直截了当的；明显的，清楚的
競う,きそう,竞争，竞赛
競争,きょうそう,名词 竞争
競合,きょうごう,竞争
競売,きょうばい,拍卖
競技,きょうぎ,竞技，比赛
競走,きょうそう,赛跑
競馬,けいば,名词 赛马
竹,たけ,名词 竹子
竿,さお,竿子；船篙
笑い,わらい,名 笑
笑います,わらいます,动1 【自他】笑
笑い声,わらいごえ,名 笑声
笑う,わらう,笑；嘲笑
笑える,わらえる,值得一笑；不由得笑起来
笑顔,えがお,名词 笑脸
笛,ふえ,笛子；哨子
第一,～だいいち,～第一，～最重要
第一印象,だいいちいんしょう,名词 第一印象
第～,だい～,第～
笹,ささ,小竹子，细竹
筆,ふで,名词 笔，毛笔
筆記,ひっき,笔记；记下来
等しい,ひとしい,相等的，相同的，一样的
等分,とうぶん,等分；平均分配
等級,とうきゅう,等级
筋,すじ,筋；逻辑，条理；情节
筋肉,きんにく,肌肉
筋道,すじみち,理由，道理；手续，程序
筒,つつ,筒，管
答え,こたえ,名词 回答．答案
答えます,こたえます,动2 【自】回答
答える,こたえる,回答，应答；解答
答案,とうあん,名词 答案，回答
简体形,,敬体和简体→句子的概念/各种词类做谓语时的形式
箇所,かしょ,名词 地方，处所
箒,ほうき,扫帚
算数,さんすう,名词 算数
算盤,そろばん,算盘；利害得失的计算
管理,かんり,管理；保管
管理します,かんりします,动3 管理
箱,はこ,箱子
箱根,はこね,专 箱根
箸,はし,筷子
節,せつ,名词 时节，时候，时期
節分,せつぶん,立春、立夏、立秋、立冬的前一天；（特指）立春的前一天
節句,せっく,传统节日
節度,せつど,节制，分寸；规范
節目,ふしめ,阶段，段落；节点
節約,せつやく,名词 节约
節電,せつでん,省电，节电
範囲,はんい,名词 范围
築く,きずく,动1 建立；积累
簡化24式太極拳,かんかにじゅうよんしきたいきょくけん,名词 二十四式简化太极拳
簡単,かんたん,简单
簡単［な］,かんたん［な］,简单，单纯
簡潔,かんけつ,形容动词 简洁
籠,かご,筐，篮，笼子
籠もる,こもる,闭门不出；充满；包含
米,こめ,名词 米
米国,べいこく,美国
米田,よねだ,专有词 米田
粉,こな,名词 粉，粉末
粉々,こなごな,粉碎的，稀巴烂的
粋,いき,时髦，漂亮；通情达理
粒あん,つぶあん,名词 红豆馅儿
粗い,あらい,粗大的；粗糙的；粗枝大叶的
粗末,そまつ,粗糙，不精致；怠慢
粗筋,あらすじ,概要，梗概
粘り,ねばり,黏性，黏度；毅力，坚韧不拔
粘る,ねばる,发黏；坚持不懈；赖着不走
粘土,ねんど,黏土
粘着,ねんちゃく,黏着，黏住
精いっぱい,せいいっぱい,竭尽全力
精力,せいりょく,精力
精密,せいみつ,精密，精细；精确
精密機器,せいみつきき,名词 精密仪器，精密器械
精巧,せいこう,精巧
精神,せいしん,名词 精神
精神面,せいしんめん,名词 精神方面
精算,せいさん,细算；补票
精細,せいさい,详细，周详，细致
糊,のり,糨糊
糖尿病,とうにょうびょう,名词 糖尿病
糸,いと,名词 丝，丝线，线
系列,けいれつ,系列，系统，体系
系統,けいとう,系统；体系
約束,やくそく,约定，商定
約束します,やくそくします,动3 约定
約～,やく～,约～，大约～
紅茶,こうちゃ,红茶
紅葉,もみじ,枫叶
紆余曲折,うよきょくせつ,周折，波折，曲折，弯弯曲曲
納める,おさめる,缴纳；供应；结束
納付,のうふ,（向政府）缴纳
納入,のうにゅう,缴纳，交纳
納品,のうひん,交的货，交付的物品；交货，交付
納品～,のうひんする,动3 交货，缴纳物品
納得,なっとく,名词 接受，理解
納期,のうき,名词 交货时间，缴纳期限
納豆,なっとう,名词 纳豆
紐,ひも,带子，细绳
純情,じゅんじょう,纯真，天真，纯洁
純粋,じゅんすい,纯粹，纯真
紙,かみ,纸
紙くず,かみくず,废纸
紙幣,しへい,名词 纸币
紙袋,かみぶくろ,名词 纸袋，纸质口袋
紙飛行機,かみひこうき,名 纸折的飞机
紙～,かみコップ,名词 纸杯
紛らす,まぎらす,蒙混过去，掩饰过去；排遣，解除，消除
紛らわしい,まぎらわしい,容易混淆的，不易分辨的
紛れる,まぎれる,混淆；混杂，混进；（因忙碌）忘怀
紛れ当たり,まぐれあたり,歪打正着，碰巧打中
紛争,ふんそう,名词 争端，纷争，纠纷
紛失,ふんしつ,遗失，丢失
素人,しろうと,外行；业余爱好者
素振り,そぶり,态度，举止，样子
素敵,すてき,极好的，绝佳的
素早い,すばやい,迅速的，敏捷的，麻利的
素晴らしい,すばらしい,极好的，绝佳的
素朴,そぼく,形容动词 朴素
素材,そざい,名词 ]材料，素材
素案,そあん,草案
素直,すなお,坦率的，纯朴的
素質,そしつ,素质；天分，资质
索引,さくいん,索引
紫,むらさき,名词 紫，紫色
紫外線,しがいせん,名词 紫外线
紫禁城,しきんじょう,专 紫禁城
累加,るいか,递增；累积
累計,るいけい,累计，总计
細い,ほそい,形1 小，细长，纤细
細かい,こまかい,形容词 细小，细致，琐碎
細かい(お金),,(こまかい(おかね)) 零钱
細やか,こまやか,细致的，详细的；细腻的
細工,さいく,工艺品；耍花招
細胞,さいぼう,细胞
細菌,さいきん,细菌
細長い,ほそながい,形容词 细长
紳士,しんし,绅士，君子
紹介,しょうかい,介绍
紹介します,しょうかいします,介绍
紹興,しょうこう,专有词 绍兴
紹興酒,しょこうしゅ,专有词 绍兴酒
紺,こん,名词 藏青，深蓝
終い,しまい,末尾，终了；结局
終える,おえる,动2 做完，完成，结束
終わり,おわり,结尾
終わります,おわります,结束
終わる,おわる,完毕，结束；做完，完结
終了,しゅうりょうする,动3 结束，终了
終始,しゅうし,自始至终；从头到尾
終息,しゅうそく,结束；平息；根除
終日,しゅうじつ,终日，整天
終点,しゅうてん,终点
終焉,しゅうえん,终老，临终
終着,しゅうちゃく,终点
終結,しゅうけつ,名词 结束，终结
終電,しゅうでん,末班电车
終電車,しゅうでんしゃ,末班电车
組み合わせ,くみあわせ,名词 配合，搭配，组合
組み合わせる,くみあわせる,动2 组合，编到一起
組み立てる,くみたてる,动2 组装，安装，装配
組み込む,くみこむ,编入；入伙
組む,くむ,动1 计划，安排，编制，编排
組合,くみあい,工会；行会
組織,そしき,组织；结构；体系
絆,きずな,纽带，羁绊
経つ,たつ,动1 (时间)过，流逝，消逝
経営,けいえい,经营，运营
経営者,けいえいしゃ,名词 经营者
経営～,けいえいする,动3 经营
経度,けいど,经度
経歴,けいれき,经历；履历；来历
経済,けいざい,经济
経済的,けいざいてき,经济方面的；节约的
経理,けいり,名词 经营管理；经理
経由,けいゆ,名词 经由，经过
経緯,いきさつ,事情的经过，原委
経費,けいひ,经费，开销
経路,けいろ,路径，途径
経過,けいか,（事情的）经过，过程；时间流逝，过去
経験,けいけん,经验；体验
経験します,けいけんします,动3 经验，经历
結び,むすび,结，打结；结束，终结
結びます,むすびます,动1 【他】连接，系
結び付く,むすびつく,有关联，有联系；结合在一起
結び付ける,むすびつける,系上，拴上；结合起来
結ぶ,むすぶ,系，绑；缔结，建立关系
結婚,けっこん,结婚
結婚します,けっこんします,结婚
結婚式,けっこんしき,名 结婚典礼
結婚式場,けっこんしきじょう,名词 婚礼会场
結婚記念日,けっこんきねんび,名词 结婚纪念日
結婚～,けっこんします,动3 结婚
結局,けっきょく,副词 结果，最后
結成,けっせい,结成，组成
結晶,けっしょう,（雪）结晶；成果，结晶
結束,けっそく,捆扎；团结
結果,けっか,名词 结果
結構,けっこう,形容动词 很好，优秀；足够；不必
結構です,けっこうです,熟语 不用，不要
結論,けつろん,名词 结论
絞る,しぼる,动1 集中；榨，挤
絡む,からむ,缠住；胡搅蛮缠，无理取闹；密切相关
給与,きゅうよ,工资，薪酬；供应，供给
給仕,きゅうじ,服务人员；伺候（吃饭）
給料,きゅうりょう,工资
給食,きゅうしょく,提供伙食
統一,とういつ,统一；集中；一致
統一～,とういつする,动3 统一
統制,とうせい,统制；统一管理
統合,とうごう,合并，统一
統率,とうそつ,统率
統計,とうけい,名词 统计
絵,え,画，图画
絵の具,えのぐ,颜料，水彩
絵文字,えもじ,表情符号
絵本,えほん,绘本，图画书
絵画,かいが,名词 绘画
絵葉書,えはがき,美术明信片
絶えず,たえず,不断地，总是
絶える,たえる,断绝，终了；停止，消失
